SITIO,13/03/2020
Aguascalientes,1
Baja California,5
Baja California Sur,1
Campeche,0
Ciudad de México,28
Chiapas,0
Chihuahua,0
Coahuila,0
Colima,2
Durango,2
Estado de México,8
Guanajuato,5
Guerrero,1
Hidalgo,1
Jalisco,4
Michoacán,0
Morelos,1
Nayarit,0
Nuevo León,3
Oaxaca,0
Puebla,0
Querétaro,8
Quintana Roo,4
San Luis Potosí,1
Sinaloa,3
Sonora,0
Tabasco,2
Tamaulipas,0
Tlaxcala,0
Veracruz,2
Yucatán,0
Zacatecas,0
